Model Name,Engine Displacement (cc),Maximum Power (HP),Engine Type,Bore (mm),Stroke (mm),Charging System,Oil Capacity (L),Valve Type,Cylinders (qty.),Dry Weight (kg),Shaft Diameter (mm),Fuel Type,Air Cooling System,Product Type,Series,Start Type,Displacement,Shaft Rotation
Model_1953,676,8.2,4-stroke,84.008,54.01,12V DC,1.152,DOHC,1,41.904,22.817,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1954,419,12.9,OHV,55.404,57.402,None,1.911,Flathead,2,34.804,22.607,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_1955,574,8.7,2-stroke,67.605,62.007,Alternator,1.987,OHV,2,62.601,28.314,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1956,175,10.7,4-stroke,70.21,61.505,12V DC,0.425,OHV,1,20.702,32.716,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_1957,216,21.6,2-stroke,61.105,52.505,None,0.65,Flathead,2,53.407,26.609,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_1958,571,10.8,4-stroke,77.207,51.304,None,1.445,OHV,2,63.501,27.114,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1959,648,3.2,V-twin,68.704,67.304,None,1.372,OHV,2,36.101,30.015,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1960,406,5.6,2-stroke,60.707,49.606,None,1.997,DOHC,1,39.502,29.109,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_1961,104,20.2,OHV,65.708,47.014,None,0.961,OHV,1,9.002,19.81,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_1962,436,4.6,OHV,80.104,63.104,Alternator,1.74,Flathead,2,44.502,34.713,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_1963,444,8.2,V-twin,55.505,60.307,None,0.887,Flathead,2,64.603,24.608,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_1964,573,9.3,4-stroke,74.913,74.706,12V DC,0.867,Flathead,1,41.704,26.708,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1965,437,8.8,4-stroke,78.808,50.01,Alternator,0.662,OHV,1,8.003,35.005,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_1966,625,20.6,2-stroke,77.804,55.705,None,0.918,Flathead,1,17.807,21.41,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_1967,679,5.9,2-stroke,66.704,52.005,12V DC,1.206,OHV,2,48.302,31.208,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_1968,416,2.3,2-stroke,72.106,59.11,12V DC,2.051,DOHC,2,14.8,33.31,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_1969,367,10,OHV,57.908,74.807,None,0.63,DOHC,2,54.803,33.714,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_1970,180,14.2,OHV,65.207,45.207,Alternator,2.138,Flathead,2,9.902,19.718,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_1971,555,8.3,4-stroke,81.406,49.113,Alternator,0.631,OHV,2,53.103,29.412,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1972,132,6.3,V-twin,80.004,65.705,None,2.056,DOHC,1,63.403,30.116,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_1973,276,21.2,2-stroke,60.708,50.509,12V DC,1.297,OHV,1,67.705,26.709,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_1974,203,12.7,OHV,57.009,63.905,None,1.799,Flathead,1,9.306,25.71,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_1975,657,20.6,2-stroke,72.604,64.801,Alternator,0.566,OHV,2,49.405,23.51,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1976,227,3.6,V-twin,78.209,69.009,12V DC,0.808,Flathead,2,66.103,25.516,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_1977,200,9.8,2-stroke,77.208,72.505,12V DC,1.848,DOHC,2,29.303,27.213,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_1978,317,2.6,2-stroke,72.705,74.105,Alternator,1.351,Flathead,2,18.205,19.012,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_1979,265,15.1,OHV,72.811,46.507,Alternator,2.274,DOHC,2,62.005,33.311,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_1980,565,19.7,2-stroke,84.906,69.605,None,2.091,DOHC,1,62.202,25.813,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_1981,405,18.7,4-stroke,80.105,61.304,Alternator,0.408,OHV,2,46.102,23.914,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_1982,674,4.8,OHV,75.107,63.004,Alternator,0.498,DOHC,1,52.304,27.413,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_1983,265,21.9,2-stroke,81.603,66.91,None,0.387,Flathead,2,57.004,18.314,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_1984,152,23.1,4-stroke,65.807,46.705,12V DC,1.588,DOHC,2,39.503,29.712,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_1985,503,10.6,4-stroke,84.009,57.004,12V DC,0.752,Flathead,2,13.706,28.213,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_1986,392,16.3,V-twin,80.505,52.006,None,2.206,Flathead,1,14.705,23.615,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_1987,614,20.5,2-stroke,79.208,52.906,12V DC,2.057,OHV,2,31.002,30.515,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_1988,574,8.7,OHV,66.813,74.707,12V DC,1.782,OHV,1,28.704,27.313,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_1989,113,13.6,V-twin,64.205,63.204,Alternator,1.071,DOHC,2,22.306,26.309,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_1990,568,10.7,2-stroke,79.01,63.506,12V DC,2.11,Flathead,1,34.1,25.21,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_1991,193,8.4,2-stroke,61.807,70.607,Alternator,0.328,DOHC,2,48.601,33.312,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_1992,215,14.1,2-stroke,60.308,52.205,Alternator,0.712,Flathead,1,22.803,28.713,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_1993,125,18.2,4-stroke,73.306,47.905,Alternator,0.701,Flathead,2,55.404,25.211,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_1994,566,3.5,2-stroke,73.103,69.711,None,1.783,Flathead,2,14.402,32.809,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_1995,358,7.8,V-twin,82.105,73.108,None,0.388,Flathead,2,13.002,33.922,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_1996,191,18.2,4-stroke,66.814,69.408,None,2.167,Flathead,2,20.103,31.613,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_1997,524,3.7,OHV,57.308,48.303,12V DC,0.985,OHV,1,32.402,26.108,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_1998,155,12,2-stroke,63.509,55.706,12V DC,1.543,Flathead,1,11.602,33.313,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_1999,349,9.6,2-stroke,74.914,57.005,Alternator,1.178,DOHC,2,15.402,29.413,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2000,253,17.5,V-twin,61.907,56.105,12V DC,1.412,DOHC,1,12.205,28.315,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2001,53,11.1,2-stroke,71.607,70.107,Alternator,1.047,OHV,1,42.304,24.709,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2002,430,3.5,2-stroke,71.406,47.015,12V DC,1.979,OHV,1,34.902,20.512,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2003,51,20.6,2-stroke,61.106,56.611,Alternator,1.915,DOHC,2,35.603,19.013,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2004,121,3.1,OHV,81.506,48.304,None,1.998,DOHC,1,54.003,20.315,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2005,646,9.9,V-twin,74.409,67.603,None,1.894,DOHC,1,12.206,26.411,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2006,300,13.4,V-twin,84.407,49.904,12V DC,0.962,DOHC,1,17.302,33.211,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2007,250,16.7,4-stroke,55.001,56.705,None,0.642,Flathead,1,44.202,22.217,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2008,600,13.5,4-stroke,57.01,48.607,Alternator,0.557,OHV,2,57.502,29.31,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2009,409,22.1,OHV,69.804,52.804,None,0.583,DOHC,2,54.203,30.914,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2010,672,6,OHV,56.213,55.503,Alternator,1.383,DOHC,1,37.704,19.216,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2011,420,7.8,OHV,72.508,71.905,12V DC,2.299,Flathead,1,23.007,27.414,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2012,130,16.1,2-stroke,76.613,74.206,12V DC,1.292,OHV,1,33.303,28.714,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2013,480,11.3,2-stroke,60.204,59.603,Alternator,1.413,Flathead,2,30.402,26.31,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2014,605,2,2-stroke,70.801,55.607,Alternator,2.487,DOHC,2,51.404,18.41,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2015,348,21.3,V-twin,74.915,46.613,Alternator,1.967,OHV,1,40.704,33.508,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2016,429,7.1,2-stroke,66.815,63.702,None,1.715,OHV,2,39.605,18.315,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2017,497,16.4,2-stroke,57.309,50.706,None,0.775,OHV,1,30.204,34.714,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2018,508,11.6,OHV,78,72.907,None,1.741,Flathead,2,54.404,18.511,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2019,329,6.2,2-stroke,61.21,65.804,None,0.835,Flathead,2,23.204,24.51,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2020,184,23.4,V-twin,72.706,50.51,12V DC,2.076,Flathead,2,68.704,25.305,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2021,391,3.3,OHV,68.006,50.111,None,0.651,OHV,2,64.802,24.807,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2022,197,13.7,V-twin,65.306,51.407,12V DC,1.964,OHV,2,59.801,18.808,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2023,397,19.7,2-stroke,61.211,45.208,Alternator,0.302,Flathead,2,30.5,23.307,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2024,607,7.6,OHV,55.311,65.402,12V DC,1.654,OHV,2,57.203,26.61,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2025,75,11.6,4-stroke,62.403,67.907,Alternator,2.092,Flathead,2,17.403,31.91,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2026,681,13.2,V-twin,57.806,68.406,None,1.8,Flathead,1,38.404,31.708,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2027,546,18.6,2-stroke,75.005,46.906,12V DC,2.093,OHV,1,58.203,30.608,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2028,154,23.8,4-stroke,79.909,70.706,None,2.094,DOHC,2,22.504,31.209,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2029,206,23.6,4-stroke,61.61,67.809,12V DC,0.499,DOHC,2,16.602,34.112,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2030,464,10.4,2-stroke,59.708,71.408,None,0.461,OHV,1,19.903,28.617,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2031,412,8.5,V-twin,77.209,59.111,12V DC,0.643,OHV,2,52.403,34.91,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2032,238,8.5,OHV,75.606,50.603,None,0.963,OHV,2,13.904,24.511,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2033,84,17.6,2-stroke,80.906,45.106,None,0.338,Flathead,2,21.402,23.511,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2034,238,24.3,OHV,81.604,55.805,12V DC,1.326,OHV,1,61.003,35.006,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2035,441,9.7,4-stroke,64.706,57.601,None,1.916,Flathead,1,50.205,19.014,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2036,134,20.5,OHV,55.709,47.906,None,2.13,Flathead,1,16.507,25.711,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2037,57,22.1,V-twin,82.807,58.804,12V DC,1.478,OHV,2,37.507,31.414,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2038,174,21.1,OHV,56.515,54.609,12V DC,1.857,DOHC,2,29.104,19.314,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2039,464,11,OHV,56.214,46.706,Alternator,2.441,OHV,1,65.407,33.715,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2040,100,7.5,V-twin,70.708,74.909,12V DC,1.829,Flathead,1,60.004,34.615,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2041,566,10.5,OHV,56.215,52.907,None,1.687,Flathead,2,19.103,25.409,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2042,551,9.5,2-stroke,72.204,55.707,None,2.152,Flathead,2,54.501,22.709,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2043,69,11.7,OHV,74.41,62.008,12V DC,1.544,DOHC,1,61.202,26.515,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2044,84,19.1,V-twin,74.107,61.506,12V DC,1.414,DOHC,2,18.703,34.715,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_2045,682,18.2,V-twin,82.608,46.508,None,0.479,Flathead,1,28.905,30.915,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2046,668,6.5,V-twin,76.005,72.006,12V DC,2.095,Flathead,2,28.105,33.118,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2047,333,5.3,2-stroke,56.307,71.012,Alternator,2.058,Flathead,1,50.803,18.11,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2048,373,13.7,OHV,83.905,53.604,None,0.95,Flathead,2,20.002,24.512,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2049,585,8,2-stroke,71.608,48.507,None,2.229,DOHC,2,60.705,28.715,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2050,168,23.1,V-twin,79.304,61.207,None,1.028,DOHC,1,57.503,19.912,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2051,533,6,V-twin,76.304,57.509,12V DC,1.688,OHV,2,43.108,32.717,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2052,294,11.2,OHV,70.606,52.706,12V DC,1.333,Flathead,2,40.501,26.109,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2053,193,14.4,2-stroke,74.207,53.812,Alternator,0.86,Flathead,1,56.805,31.81,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2054,295,11.6,V-twin,80.005,61.507,Alternator,0.884,OHV,2,69.203,33.923,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2055,497,19.7,V-twin,74.916,74.808,None,2.059,Flathead,2,16.404,26.017,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2056,404,24.2,V-twin,59.803,54.403,Alternator,0.416,Flathead,2,18.101,30.516,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2057,566,16.5,V-twin,73.703,73.208,Alternator,1.426,Flathead,1,8.004,18.607,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2058,509,12.1,4-stroke,55.71,50.707,Alternator,0.417,OHV,2,57.504,31.111,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2059,655,24.5,V-twin,77.111,65.503,None,1.663,DOHC,1,41.804,32.718,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2060,541,2,4-stroke,67.106,51.008,Alternator,1.999,DOHC,2,35.905,18.007,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2061,227,24.3,V-twin,64.105,71.11,Alternator,0.652,Flathead,1,28.303,31.112,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2062,475,10,V-twin,80.207,56.106,Alternator,1.858,Flathead,2,48.504,20.611,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2063,334,5.5,4-stroke,77.112,69.804,12V DC,0.487,Flathead,1,67.305,32.81,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2064,300,24.3,V-twin,65.609,59.112,None,2.286,DOHC,1,29.105,34.812,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2065,401,21.1,V-twin,56.907,60.108,None,2.168,DOHC,2,29.006,25.912,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2066,345,21.9,4-stroke,75.51,50.307,12V DC,0.518,Flathead,1,40.103,34.716,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2067,189,10.1,V-twin,74.311,67.212,Alternator,1.524,Flathead,1,31.302,27.608,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2068,474,13.8,OHV,71.106,56.004,12V DC,1.784,Flathead,2,20.802,23.409,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2069,648,11,OHV,82.907,71.409,Alternator,0.488,OHV,2,28.407,21.811,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2070,311,11.3,OHV,76.403,60.109,12V DC,1.664,DOHC,2,45.704,22.914,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2071,442,20.7,V-twin,81.605,60.11,12V DC,0.713,OHV,2,63.801,28.414,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2072,491,8.1,2-stroke,61.212,53.305,Alternator,2.344,DOHC,1,51.6,31.709,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2073,111,8.3,4-stroke,82.405,65.504,Alternator,2.119,Flathead,1,33.501,20.513,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2074,399,20.8,2-stroke,65.307,64.304,12V DC,2.446,DOHC,1,24.001,22.309,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2075,468,17.1,4-stroke,66.307,49.114,None,1.544,Flathead,1,34.001,28.508,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2076,623,20.7,V-twin,61.007,73.707,None,0.62,DOHC,1,64.702,34.512,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2077,216,18.3,4-stroke,55.405,74.01,Alternator,2.021,OHV,2,57.902,25.011,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2078,459,9,OHV,76.305,68.407,None,2.032,DOHC,1,13.403,23.512,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2079,162,9.3,OHV,60.404,52.908,Alternator,1.161,DOHC,2,9.903,34.717,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2080,363,11.1,OHV,80.806,45.806,None,0.738,OHV,2,50.702,21.919,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2081,155,4.3,2-stroke,62.304,54.011,Alternator,2.039,Flathead,2,26.703,18.411,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2082,89,8.5,V-twin,70.105,62.805,Alternator,2.217,DOHC,2,10.803,23.112,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2083,693,6.8,OHV,76.907,68.909,None,1.268,OHV,2,11.704,22.818,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_2084,249,7.7,OHV,57.405,56.706,None,1.401,Flathead,2,27.6,23.513,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2085,573,16.5,OHV,83.306,59.803,12V DC,1.119,Flathead,1,23.903,26.516,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2086,314,10,V-twin,69.305,58.303,Alternator,2.169,Flathead,1,31.604,33.408,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2087,678,7.1,OHV,80.208,63.205,None,2.23,Flathead,2,26.303,33.612,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_2088,325,17.2,2-stroke,70.902,57.602,None,0.584,Flathead,1,37.603,18.707,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2089,408,24.7,OHV,57.807,58.113,Alternator,0.951,OHV,1,56.007,22.109,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_2090,93,13.1,OHV,82.609,45.107,Alternator,1.029,Flathead,2,10.604,27.707,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2091,548,20.3,OHV,68.912,74.607,Alternator,0.689,Flathead,1,69.403,19.719,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2092,168,15.3,2-stroke,56.516,74.405,Alternator,1.785,DOHC,1,44.407,34.113,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_2093,406,8.2,OHV,72.205,70.306,Alternator,1.03,DOHC,1,60.81,28.316,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_2094,143,7.4,OHV,73.404,57.305,12V DC,0.455,Flathead,1,45.103,33.006,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2095,126,18.9,OHV,73.006,48.608,12V DC,0.462,OHV,2,30.704,31.614,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2096,573,5.9,OHV,62.11,69.304,12V DC,1.629,Flathead,1,40.8,30.709,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_2097,243,23.1,V-twin,63.409,46.305,None,0.765,DOHC,1,35.906,32.114,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_2098,696,20.1,V-twin,80.408,63.402,None,0.61,Flathead,1,38.504,30.71,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_2099,144,2.2,V-twin,55.607,45.807,12V DC,1.162,DOHC,1,9.307,23.616,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_2100,73,9.1,2-stroke,84.706,70.405,12V DC,0.567,OHV,2,34.301,30.916,Diesel,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_2101,383,9.9,V-twin,78.809,74.91,12V DC,2.442,OHV,2,49.502,34.009,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_2102,324,3.9,2-stroke,60.005,46.707,None,2.423,Flathead,2,8.201,25.108,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
